Product Category,Quantity,Unit Price,Total Price,Order Date,Payment Type,Order Status
Sports & Outdoors,4,154.050509,616.202036,2023-08-02,Credit Card,Completed
Home & Kitchen,5,275.5399077,1377.699538,2023-09-03,PayPal,Refunded
Beauty & Health,3,56.41009812,169.2302944,2023-12-06,Debit Card,Cancelled
Books,2,176.4109058,352.8218116,2023-07-22,PayPal,Pending
Electronics,3,409.8921437,1229.676431,2023-04-08,Credit Card,Cancelled
Home & Kitchen,2,369.0590086,738.1180172,2023-07-03,PayPal,Cancelled
Clothing,2,291.94364,583.88728,2023-03-10,Credit Card,Pending
Clothing,2,222.6082529,445.2165058,2023-12-20,Credit Card,Refunded
Sports & Outdoors,5,263.0393715,1315.196857,2023-10-21,PayPal,Refunded
Sports & Outdoors,4,116.0724429,464.2897717,2023-02-19,PayPal,Refunded
Sports & Outdoors,2,168.6412511,337.2825022,2023-12-05,PayPal,Pending
Clothing,3,444.6629569,1333.988871,2023-08-07,Debit Card,Refunded
Sports & Outdoors,1,134.8628158,134.8628158,2023-05-17,Credit Card,Completed
Electronics,3,42.20547529,126.6164259,2023-04-03,Gift Card,Cancelled
Sports & Outdoors,2,351.3924842,702.7849684,2023-05-12,Credit Card,Refunded
Clothing,4,315.4892613,1261.957045,2023-05-24,PayPal,Completed
Books,1,108.9677499,108.9677499,2023-03-07,PayPal,Cancelled
Home & Kitchen,4,82.33650342,329.3460137,2023-03-10,PayPal,Pending
Electronics,5,180.2003286,901.0016428,2023-05-22,Debit Card,Pending
Clothing,3,433.2336695,1299.701009,2023-06-11,Credit Card,Completed
Books,1,417.3878492,417.3878492,2023-04-22,Debit Card,Completed
Beauty & Health,1,35.43989837,35.43989837,2023-01-12,Debit Card,Cancelled
Home & Kitchen,1,112.2039777,112.2039777,2023-02-21,Gift Card,Refunded
Clothing,3,135.382676,406.1480281,2023-01-26,PayPal,Completed
Sports & Outdoors,5,274.6379938,1373.189969,2023-08-11,PayPal,Refunded
Clothing,4,287.4647254,1149.858902,2023-09-05,Credit Card,Completed
Clothing,3,488.2033441,1464.610032,2023-01-20,PayPal,Cancelled
Books,2,338.0023073,676.0046146,2023-07-15,Gift Card,Pending
Sports & Outdoors,4,108.5153291,434.0613163,2023-03-03,Credit Card,Refunded
Clothing,4,314.5981383,1258.392553,2023-01-19,Credit Card,Completed
Books,3,396.7016364,1190.104909,2023-12-25,Credit Card,Completed
